BMI,Height,Category
26.252464251729382,174.96714153011231,adult
26.732241047484877,168.61735698828815,adult
21.599876392107547,176.47688538100692,adult
26.161268485805017,185.23029856408024,adult
26.465362366493405,167.65846625276663,adult
21.42824290986816,167.6586304305082,adult
34.328872555723784,185.79212815507393,adult
27.36916460455894,177.6743472915291,adult
19.043482513986756,165.30525614065047,adult
28.28276804316915,175.42560043585965,adult
20.126591648863393,165.36582307187538,adult
28.93542301871226,165.34270246429742,adult
30.79297789503702,172.41962271566035,adult
20.89658840824145,150.86719755342202,adult
29.81688064622161,152.75082167486968,adult
27.06390463468249,164.37712470759027,adult
29.11030079997245,159.87168879665577,adult
34.48396491326974,173.14247332595275,adult
23.773059419985646,160.91975924478788,adult
21.23131917821255,155.87696298664707,adult
20.552427851872384,184.65648768921554,adult
20.920948575172808,167.74223699513465,adult
24.614491452929478,170.67528204687923,adult
26.70575987408322,155.75251813786542,adult
26.383453996650097,164.55617275474816,adult
29.13591624518012,171.10922589709867,adult
25.065009459389536,158.49006422577696,adult
32.26767038578659,173.75698018345673,adult
23.67671583381022,163.99361310081196,adult
38.600845832948096,167.08306250206724,adult
28.12833673882503,163.98293387770602,adult
20.714212217918586,188.52278184508938,adult
19.64553750969444,169.86502775262065,adult
27.412362076215928,159.42289071044098,adult
23.882686073370746,178.2254491210319,adult
28.57000247046046,157.79156350028978,adult
27.366188122867726,172.08863595004755,adult
24.635855436715637,150.40329876120225,adult
20.766031409657977,156.7181395110157,adult
17.425763876570677,171.96861235869125,adult
22.767425239664895,177.3846657999541,adult
29.28199397161736,171.7136828118997,adult
26.07046872065102,168.8435171761176,adult
18.771306106440058,166.98896304410712,adult
25.86590462925591,155.21478009632574,adult
26.926586898644185,162.8015579160529,adult
20.580712818994336,165.39361229040213,adult
25.76862552972764,180.57122226218917,adult
25.29104359223,173.43618289568462,adult
19.285148510846884,152.36959844637266,adult
26.788936801741418,173.24083969394795,adult
27.80392263184117,166.14917719583684,adult
30.415256215876383,163.2307799969404,adult
30.269010260174515,176.1167628884087,adult
18.111653160214544,180.30999522495952,adult
20.310874800424386,179.31280119116198,adult
27.5751763360433,161.60782476777362,adult
27.568929754561044,166.90787624148786,adult
27.575238431530238,173.31263431403565,adult
44.26365745327361,179.7554512712236,adult
23.7126715320795,156.1666060972377,teenager
25.406696920541798,158.51472818668947,teenager
24.86200529047961,151.14932020795177,teenager
23.954173753917395,150.43034700735464,teenager
21.054192266078964,166.5002065791536,teenager
24.276907661479804,170.8499202285666,teenager
